 ,Label,Area,Mean,Min,Max,Median
384,histone,63.430,3109.962,1872,14170,2757
385,histone,121.050,1592.580,1152,11745,1465
386,histone,305.917,3069.690,1309,24509,2739
387,histone,228.255,1831.958,1182,9256,1702
388,histone,494.608,2210.598,1218,12011,2071
389,histone,65.384,3628.860,1990,21572,3219
390,histone,251.919,1926.090,1199,7626,1805
391,histone,248.432,2707.386,1418,25510,2355
392,histone,247.809,2129.013,1218,12256,1918
393,histone,89.031,2377.624,1246,12532,2193
394,histone,237.805,2400.232,1315,23350,2164
395,histone,253.620,1651.326,1118,5904,1576
396,histone,649.108,1767.025,1082,11368,1525
397,histone,408.052,2598.251,1300,17910,2417
398,histone,230.983,2396.457,1201,18360,2194
399,histone,106.969,2053.701,1148,9909,1926
400,histone,546.248,1844.267,1054,17414,1754
401,histone,314.490,2406.389,1257,15588,2180
402,histone,300.426,1792.374,1035,11249,1665
403,histone,292.190,2439.592,1208,11127,2267
404,histone,665.984,2759.696,1301,32531,2512
405,histone,340.479,1715.452,1090,7500,1613
406,histone,103.516,2526.254,1212,12695,2311
407,histone,114.936,2302.675,1267,9965,2181
408,histone,302.161,1738.451,1030,9996,1602
409,histone,85.629,3227.527,1744,13321,2869
410,histone,73.132,1379.104,1115,6107,1304
411,histone,280.484,2106.734,1145,10805,1995
412,histone,138.987,1935.197,1132,11934,1814
413,histone,130.027,1601.485,1115,6607,1517
414,histone,115.188,2670.648,1232,14480,2393
415,histone,424.137,1883.216,1096,12423,1729
416,histone,315.737,2524.862,1246,17390,2375
417,histone,87.718,2840.398,1362,15939,2596
418,histone,331.586,1774.255,1093,13930,1613
419,histone,372.396,1841.471,1096,11505,1675
420,histone,316.191,2312.170,1178,16071,2097
421,histone,327.038,2112.099,1168,11123,1981
422,histone,327.021,3003.362,1471,29812,2664
423,histone,290.085,3029.524,1412,26846,2759
424,histone,138.078,2873.372,1588,10910,2635
425,histone,303.694,2455.896,1296,21169,2208
426,histone,247.809,2207.074,1292,12337,2055
427,histone,340.024,2349.861,1159,15151,2164
428,histone,202.485,2950.942,1492,20678,2624
429,histone,260.610,2313.998,1258,15240,2125
430,histone,65.199,2348.198,1416,8430,2188
431,histone,67.456,1749.383,1209,4095,1625
432,histone,89.570,2163.727,1328,9347,1902
433,histone,62.487,2680.811,1537,11827,2436
434,histone,87.751,1813.864,1310,8788,1668
435,histone,230.006,3554.544,1502,19593,3184
436,histone,790.689,2051.773,1095,19582,1855
437,histone,612.693,1945.567,1111,13823,1572
438,histone,332.394,2270.515,1189,20733,2105
439,histone,109.917,2637.643,1428,17200,2322
440,histone,138.718,2284.209,1278,17754,2073
441,histone,306.844,2573.481,1270,24275,2388
442,histone,525.464,1926.589,1039,15439,1848
443,histone,359.427,2612.147,1331,27263,2374
444,histone,315.518,1814.308,1153,7894,1682
445,histone,320.116,2240.803,1197,15493,2079
446,histone,122.431,1955.548,1199,6715,1853
447,histone,356.917,2503.430,1223,20854,2349
448,histone,343.713,2109.793,1171,19481,1975
