nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
25,2,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,735,795,29,733,791,27,2162,2652,5922,2,42.5205841064453,42.5205841064453
30,3,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,469,434,34,464,435,32,2023,2607,5680,1,14.1421356201172,14.1421356201172
30,3,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,466,395,34,466,395,37,2465,8099,6466,2,38.0788650512695,38.0788650512695
31,3,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,144,502,33,140,502,33,2464,7099,7470,1,9.05538558959961,9.05538558959961
31,3,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,148,466,36,154,466,35,2139,2567,13219,2,39.9624824523926,39.9624824523926
32,3,6,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,391,587,33,390,589,35,3011,10848,5618,1,33.2415390014648,33.2415390014648
32,3,6,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,438,599,31,433,599,33,2891,9969,4671,2,28,28
33,3,7,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,613,608,31,613,604,29,3082,13686,8506,1,27.2029418945312,27.2029418945312
33,3,7,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,661,638,29,664,644,29,2059,2263,3606,2,9.43398094177246,9.43398094177246
34,3,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,527,653,36,526,659,37,2102,3697,3930,1,25.4950981140137,25.4950981140137
