nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
61,12,3,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,731,672,21,733,668,19,1824,2578,13416,2
62,12,4,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,284,574,17,281,573,19,2835,8876,11770,1
62,12,4,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,329,557,20,329,562,18,2218,2552,9561,2
63,12,5,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,583,673,21,580,673,23,2711,7182,10819,1
63,12,5,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,603,630,23,603,630,26,3235,14420,6641,2
65,12,7,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,415,854,21,411,851,20,2287,4230,6849,1
65,12,7,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,342,837,24,340,841,26,2742,7378,12214,2
66,13,1,2,/Volumes/AM/iAM727/a488_013.tif,/Volumes/AM/iAM727/a594_013.tif,/Volumes/AM/iAM727/a488fret_013.tif,931,250,24,929,252,22,2271,2116,8401,1
66,13,1,2,/Volumes/AM/iAM727/a488_013.tif,/Volumes/AM/iAM727/a594_013.tif,/Volumes/AM/iAM727/a488fret_013.tif,930,224,24,926,221,22,1918,1874,7268,2
67,13,2,2,/Volumes/AM/iAM727/a488_013.tif,/Volumes/AM/iAM727/a594_013.tif,/Volumes/AM/iAM727/a488fret_013.tif,530,301,16,534,304,17,3207,5867,4429,1
67,13,2,2,/Volumes/AM/iAM727/a488_013.tif,/Volumes/AM/iAM727/a594_013.tif,/Volumes/AM/iAM727/a488fret_013.tif,525,309,25,522,313,23,2708,4448,17822,2
70,13,5,2,/Volumes/AM/iAM727/a488_013.tif,/Volumes/AM/iAM727/a594_013.tif,/Volumes/AM/iAM727/a488fret_013.tif,265,815,16,264,817,18,2234,4146,3812,1
70,13,5,2,/Volumes/AM/iAM727/a488_013.tif,/Volumes/AM/iAM727/a594_013.tif,/Volumes/AM/iAM727/a488fret_013.tif,334,840,16,331,845,16,2910,5929,8918,2
