nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
51,6,4,2,/Users/anamota/Desktop/iAM602/a488_006.tif,/Users/anamota/Desktop/iAM602/a594_006.tif,/Users/anamota/Desktop/iAM602/a488fret_006.tif,597,320,14,598,315,16,3497,8249,6503,2
52,6,5,2,/Users/anamota/Desktop/iAM602/a488_006.tif,/Users/anamota/Desktop/iAM602/a594_006.tif,/Users/anamota/Desktop/iAM602/a488fret_006.tif,354,526,27,355,521,25,2561,2463,3460,1
52,6,5,2,/Users/anamota/Desktop/iAM602/a488_006.tif,/Users/anamota/Desktop/iAM602/a594_006.tif,/Users/anamota/Desktop/iAM602/a488fret_006.tif,428,531,25,428,532,22,2980,4486,3427,2
54,6,7,2,/Users/anamota/Desktop/iAM602/a488_006.tif,/Users/anamota/Desktop/iAM602/a594_006.tif,/Users/anamota/Desktop/iAM602/a488fret_006.tif,313,741,18,312,741,21,2933,6057,4734,1
54,6,7,2,/Users/anamota/Desktop/iAM602/a488_006.tif,/Users/anamota/Desktop/iAM602/a594_006.tif,/Users/anamota/Desktop/iAM602/a488fret_006.tif,344,767,20,344,760,20,2340,2990,3408,2
65,7,8,2,/Users/anamota/Desktop/iAM602/a488_007.tif,/Users/anamota/Desktop/iAM602/a594_007.tif,/Users/anamota/Desktop/iAM602/a488fret_007.tif,855,746,26,856,747,24,1885,2881,11253,1
65,7,8,2,/Users/anamota/Desktop/iAM602/a488_007.tif,/Users/anamota/Desktop/iAM602/a594_007.tif,/Users/anamota/Desktop/iAM602/a488fret_007.tif,762,723,29,759,726,27,2080,2707,9055,2
66,7,9,2,/Users/anamota/Desktop/iAM602/a488_007.tif,/Users/anamota/Desktop/iAM602/a594_007.tif,/Users/anamota/Desktop/iAM602/a488fret_007.tif,423,937,22,417,935,21,3010,6559,9958,1
66,7,9,2,/Users/anamota/Desktop/iAM602/a488_007.tif,/Users/anamota/Desktop/iAM602/a594_007.tif,/Users/anamota/Desktop/iAM602/a488fret_007.tif,395,897,19,396,902,21,2650,2743,3486,2
69,8,2,2,/Users/anamota/Desktop/iAM602/a488_008.tif,/Users/anamota/Desktop/iAM602/a594_008.tif,/Users/anamota/Desktop/iAM602/a488fret_008.tif,811,306,18,809,304,20,2317,6217,6927,1
