File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,version,xi,yi,zi,cell_ID,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,compartment,xnorm,ynorm,znorm,G1,Allele,angle
1,tmr,9,65.81873559,685.3120521,24.68154102,3.242803469,2.40483855,9.88431801,0,0,7.0.2,66,685,25,1,2636.814399,0.5258666,2377.996947,0.4741334,0,-0.005367775,-0.588484229,0.370286084,0,1,13.13922967
1,tmr,9,67,696,23,2.91838704,3.383789063,5.578146895,0,0,7.0.2,67,696,23,1,1235.516086,0.262455923,3472.002304,0.737544077,0,-0.1321513,-0.727161473,0.271371907,0,2,13.13922967
1,tmr,10,874.719291,684.349475,23.06428721,6.350297819,2.573664071,38.18468627,0,0,7.0.2,875,684,23,10,3880.713836,0.862380853,619.2861636,0.137619147,2,0.551438783,0.13786888,0.311379857,0,-1,
1,tmr,10,873.6479636,717.2900755,20.28671244,5.105101684,2.506314097,28.23071422,0,0,7.0.2,874,717,20,10,2689.07824,0.587207399,1890.354376,0.412792601,0,0.499889273,0.649826993,0.147993106,0,-1,
1,tmr,10,870.2667156,709.6732545,22.45948625,3.58183252,2.744374304,15.47815488,0,0,7.0.2,870,710,22,10,3565.140704,0.784334857,981.213793,0.215665143,0,0.48463208,0.521438454,0.27580333,0,-1,
1,tmr,11,455.4899508,705.3777244,20.11207586,3.470354604,2.652399873,33.16529201,0,0,7.0.2,455,705,20,6,3800.302482,0.893518254,452.9655156,0.106481746,0,-0.267372835,0.095946948,0.178777672,0,1,149.4697528
1,tmr,11,486.403545,646.1163415,17.57441068,2.959610103,2.697749355,4.711393585,0,0,7.0.2,486,646,18,6,282.0297955,0.066271607,3973.564154,0.933728393,2,0.507201156,-0.525719277,0.02950325,0,2,149.4697528
1,tmr,12,288.945967,749.989955,21.04244918,3.56294879,2.673915955,19.6496277,0,0,7.0.2,289,750,21,4,1825.938401,0.429824198,2422.154474,0.570175802,0,-0.369843358,0.393783573,0.219786704,0,-1,
1,tmr,12,335.5161341,691.2016751,20.77696762,3.048401679,2.705807318,7.271283083,0,0,7.0.2,336,691,21,4,3094.561603,0.731333884,1136.676584,0.268666116,2,-0.711393712,-0.134901111,0.204170141,0,-1,
1,tmr,12,344.503659,692.7724782,20.99407207,2.864845189,2.533654314,28.36248176,0,0,7.0.2,345,693,21,4,2013.119567,0.468738882,2281.678645,0.531261118,2,-0.696641333,-0.225312631,0.216940991,0,-1,
1,tmr,13,711.6272032,682.9923773,18.61747565,3.748880294,2.809000881,10.06010373,0,0,7.0.2,712,683,19,10,3414.572386,0.766266868,1041.508443,0.233733132,2,-0.668145648,-0.333165922,0.049802706,0,-1,
1,tmr,13,721.6331027,668.4338171,20.69614047,2.805307731,2.423398793,10.21658814,0,0,7.0.2,722,668,21,10,1646.613365,0.369282612,2812.329891,0.630717388,2,-0.573975502,-0.533141823,0.172077107,0,-1,
1,tmr,14,379.9722205,797.3265556,24.39860098,2.254440134,2.674804688,8.510465115,0,0,7.0.2,380,797,24,4,1196.577589,0.259350852,3417.269731,0.740649148,0,-0.024152567,-0.493640061,0.417207398,0,-1,
1,tmr,14,388.6234262,809.6935547,22.19065074,2.598640255,2.689838712,12.57903615,0,0,7.0.2,389,810,22,4,2568.036404,0.59490519,1748.693449,0.40509481,0,0.057841789,-0.570903807,0.287327972,0,-1,
